Latitude Longitude In(2L)t In(2R)Ns In(3L)P In(3R)Payne DEST
48.18 11.61 0.337688323917137 0.0414518900343643 0.0161290322580645 0.0789884135472371 22
48.18 11.61 0.1875 0.132600732600733 0 0.032 22
48.18 11.61 0.164179104477612 0.147058823529412 0 0.0138888888888889 22
48.18 11.61 0.276923076923077 0.072289156626506 0 0.0317460317460317 22
48.18 11.61 0.189655172413793 0.0808163265306122 0 0 22
48.18 11.61 0.451612903225806 0.0339861751152074 0.0330781848004374 0.0356242118537201 22
48.18 11.61 0.217171717171717 0.0740740740740741 0.0285714285714286 0.0303030303030303 22
48.18 11.61 0.321531100478469 0.0815241470979176 0.05 0 22
48.18 11.61 0.325401069518717 0.0763403263403263 0.05 0.0232558139534884 22
48.18 11.61 0.384615384615385 0.114285714285714 0 0.110721900700579 22
48.18 11.61 0.451951951951952 0.0277777777777778 0.03125 0.05 22
48.18 11.61 0.375 0.0449494949494949 0.0357142857142857 0.0883500557413601 22
48.18 11.61 0.409090909090909 0.0560125342734038 0 0.0294372294372294 22
48.18 11.61 0.391176470588235 0.0555555555555556 0.0298573975044563 0.0277777777777778 22
49.780082 9.974293 0.321531100478469 0.0998576850094877 0.0183501683501683 0.2125 22
49.778659 9.975929 0.271186440677966 0.076530612244898 0.0266666666666667 0.0517241379310345 22
49.778659 9.975929 0.24390243902439 0.0384615384615385 0 0.09375 22
49.780082 9.974293 0.142857142857143 0.0769230769230769 0.0416666666666667 0.0720663265306122 22
52.69907 13.07596 0.0871212121212121 0 0 0 22
52.38012 12.86791 0.171744019627888 0.0212765957446809 0 0.0117647058823529 22
55.945128 10.212586 0.0678062678062678 0.0697674418604651 0 0 22
55.945128 10.212586 0.0612244897959184 0.04 0 0 22
55.945128 10.212586 0.352272727272727 0.0921212121212121 0 0 22
55.945128 10.212586 0.134415064102564 0.0769230769230769 0 0 22
55.945128 10.212586 0.125 0.0663003663003663 0 0 22
55.945128 10.212586 0.0519568151147098 0.0395010395010395 0 0 22
55.945128 10.212586 0.161290322580645 0 0.0160092213114754 0.0292110874200426 22
55.945128 10.212586 0.0414529914529915 0 0 0 22
55.945128 10.212586 0.113247863247863 0.0554417413572343 0 0 22
55.945128 10.212586 0.0522727272727273 0 0 0 22
55.945128 10.212586 0.0769230769230769 0.111111111111111 0 0 22
55.945128 10.212586 0.0588235294117647 0.072463768115942 0 0 22
-0.288806 -78.494472 0.288461538461538 0 0.128801843317972 0.0532015065913371 22
30.1 31.32 0.470588235294118 0.19047619047619 0 0 22
41.38 2.17 0.448412698412698 0.0540540540540541 0.0465367965367965 0.0666666666666667 22
41.38 2.17 0.413793103448276 0.0594117647058824 0.0402702702702703 0.123711340206186 22
38.9707208053836 -3.4072120460269 0.28544061302682 0.021286231884058 0.0625 0.113997113997114 22
39.15805 -3.021 0.32258064516129 0.0447761194029851 0.09375 0.0826351393284925 22
39.15805 -3.021 0.1890589569161 0.0694444444444444 0.0484434865900383 0.0375234521575985 22
39.152529 -3.0616048 0.154074074074074 0.0126582278481013 0.0355042016806723 0 22
39.152529 -3.0616048 0.223180076628352 0.0181818181818182 0.0630272952853598 0.0233228511530398 22
39.1567614 -3.0497293 0.289915966386555 0 0.0555555555555556 0.0526964560862866 22
